pc91_state_id,pc91_district_id,state_clean,Turnout_1996,EVM_Exposure_1996,Turnout_1998,EVM_Exposure_1998,Turnout_1999,EVM_Exposure_1999,EVM_Exposure,Lit_Pct,SC_Pct,ST_Pct,Urban_Pct,Agency_IHS,Agency_Centered,Delta_PreTrend,Delta_DiD
3,11,arunachal pradesh,68.0214032290957,0.0,35.96614832613712,0.0,64.32857015659972,0.0,0.0,25.176591663937874,0.39996257660101975,80.42522337091268,7.096412031622772,0.29077378304610985,-1.2069527336885337,-32.05525490295857,-3.692833072495972
4,2,assam,82.8014099950369,0.0,69.04198483834631,0.0,75.33690429761172,0.0,0.0,32.42379090224428,3.7611517512449124,41.14872873470479,5.4496358624583,0.8490337259531382,-0.6486927907815054,-13.759425156690597,-7.4645056974251816
4,3,assam,80.8862944695042,0.0,61.40265087266421,0.0,73.90457528101689,0.0,0.0,38.6085597561927,10.741985058010732,17.527921805323192,7.907019366631044,1.2817475555363493,-0.2159789611982943,-19.483643596839983,-6.981719188487304
4,4,assam,83.83228817085786,0.0,66.02468024609914,0.0,74.82834868458235,0.0,0.0,36.20461250828902,5.500461789708302,17.229022248234795,6.39335501823957,1.5073127488662155,0.009586232131571837,-17.807607924758727,-9.003939486275513
4,5,assam,80.85318117922886,0.0,59.58386801738135,0.0,73.68004948170946,0.0,0.0,34.054987554658105,6.544683793054423,7.9710809080733425,5.975207464462757,1.129297268371538,-0.36842924836310553,-21.269313161847506,-7.173131697519395
4,6,assam,79.14780204530821,0.0,58.02482071589507,0.0,71.6915902398425,0.0,0.0,45.569318863821955,8.775568433376952,17.674416316571396,1.95417113509578,1.252828892312565,-0.24489762442207863,-21.122981329413143,-7.456211805465713
4,7,assam,75.22390707689739,0.0,45.816868327596325,0.0,64.63140744191843,0.0,0.0,53.74684198710946,7.536882440673357,10.71661956000562,28.476039100611928,1.7129542405217184,0.21522772378707478,-29.407038749301066,-10.592499634978964
4,8,assam,79.26083993041894,0.0,57.15119539476067,0.0,68.19596298527782,0.0,0.0,33.51669925935051,4.954344579092435,17.319572548234603,4.172120166915603,1.9378523561735195,0.44012583943887584,-22.10964453565827,-11.064876945141123
4,9,assam,79.10926087788927,0.0,66.39578805663429,0.0,71.6115729855111,0.0,0.0,38.878470420638536,5.687056049798952,10.706971277558527,6.347597078397822,1.1273380759125649,-0.3703884408220788,-12.713472821254982,-7.497687892378167
4,10,assam,79.50995790163124,0.0,65.0036930382612,0.0,73.88795507775797,0.0,0.0,47.122952641124556,8.007802884033229,23.573119437085253,5.488232468460461,0.8763636240232316,-0.621362892711412,-14.506264863370035,-5.622002823873274
4,11,assam,78.95245356563235,0.0,64.46502399463807,0.0,74.40115522622371,0.0,0.0,41.68911722323163,6.365933629889523,43.922060021301924,1.5631852640811978,2.2767825829060238,0.7790560661713801,-14.48742957099428,-4.551298339408646
4,12,assam,74.16243718979936,0.0,59.37492921513036,0.0,71.37458705721555,0.0,0.0,37.471274789661116,13.778095991445749,15.39561844791631,4.228038306533559,1.4475319644190743,-0.05019455231556935,-14.787507974669005,-2.787850132583813
4,13,assam,73.59070573367052,0.0,61.167923762349375,0.0,71.75227166419175,0.0,0.0,43.41821208966332,10.019855575645305,3.689471262764959,9.29937126651528,0.7557358056219052,-0.7419907111127384,-12.422781971321143,-1.8384340694787653
4,14,assam,74.08663130263429,0.0,61.6132654869886,0.0,70.684376992671,0.0,0.0,47.46973780817683,5.58655035165005,10.254366643480948,5.130806090115156,1.310231182619384,-0.18749533411525965,-12.473365815645685,-3.4022543099632827
4,15,assam,73.17430087815924,0.0,48.395825677544735,0.0,68.75286386149278,0.0,0.0,54.788419730809935,7.611403043597037,12.087497101718766,13.312810058700238,2.1880200346690897,0.690293517934446,-24.77847520061451,-4.421437016666459
4,16,assam,68.9147817093265,0.0,32.225743860532766,0.0,63.000169944780716,0.0,0.0,53.58547461791685,3.5576657272217647,3.7991900729418946,6.22742936817099,1.6235437784593962,0.1258172617247526,-36.68903784879374,-5.914611764545789
4,17,assam,70.06736931482487,0.0,42.62585102115534,0.0,60.5437130525373,0.0,0.0,48.0010206656006,4.021940473324079,7.954284924941748,15.28676962215228,2.0485236349039178,0.5507971181692741,-27.44151829366953,-9.523656262287574
4,18,assam,73.12409728357888,0.0,50.09128129935356,0.0,65.34156887808666,0.0,0.0,40.59771907349478,2.620219795339955,5.367505188425043,14.231659660164675,2.942690234362098,1.4449637176274543,-23.032815984225316,-7.782528405492215
4,19,assam,73.29001807478792,0.0,64.9981330631504,0.0,71.78278925077302,0.0,0.0,35.88045080674732,4.223634912323852,51.56271926581694,8.662140894461185,2.1786334039577904,0.6809068872231467,-8.291885011637518,-1.507228824014902
4,20,assam,72.68879739610679,0.0,70.44203726347988,0.0,70.7935790492379,0.0,0.0,46.57727733900969,2.5981260071219685,65.53935318731308,19.234620460076524,0.653318404518113,-0.8444081122165307,-2.2467601326269175,-1.8952183468688872
4,21,assam,74.3291148001573,0.0,80.34614916885533,0.0,69.19179700451792,0.0,0.0,44.057707816695945,14.58196050361339,0.17290097610460148,6.439775446368657,0.48495367026411634,-1.0127728464705272,6.0170343686980345,-5.137317795639376
4,22,assam,74.2784166723528,0.0,80.5239871311715,0.0,70.38139458557136,0.0,0.0,42.32465126222586,12.04926867506369,0.1592257397872833,6.5380538383424485,0.8419991913388212,-0.6557273253958225,6.24557045881869,-3.8970220867814476
4,23,assam,79.28909721928527,0.0,79.03763327543747,0.0,66.54348505530928,0.0,0.0,48.29350370458744,14.696906741485208,1.3627780497537818,8.540174512603002,2.1590044334879557,0.661277916753312,-0.2514639438477957,-12.745612163975991
5,1,bihar,57.01094398473986,0.0,46.78874778444572,0.0,54.34905427807538,0.0,0.0,45.52481875711505,15.479860074495381,0.14841588840451814,31.613910852628553,0.008770218131374635,-1.488956298603269,-10.222196200294142,-2.661889706664482
5,2,bihar,69.1340825950726,0.0,61.68367484064986,0.0,67.15828453116079,0.0,0.0,37.590484460671824,19.40185035498087,0.0168168589010483,11.932562393799785,0.9907776735417704,-0.5069488431928733,-7.450407754422741,-1.9757980639118102
5,3,bihar,48.512042826376394,0.0,53.95156995828068,0.0,48.852378208942184,0.0,0.0,37.47494746475113,14.358188156213256,0.2528079843163231,9.170139217975544,1.131776477276121,-0.36595003945852267,5.439527131904285,0.3403353825657902
5,4,bihar,46.45687022380404,0.0,55.96825984706012,0.0,53.29169437325329,0.0,0.0,35.743177904529446,18.81128078367696,1.6229269982779928,8.157659311507453,0.5476081481559791,-0.9501183685786645,9.511389623256079,6.834824149449254
5,5,bihar,42.19315911162999,0.0,55.711182134365664,0.0,60.98685223428619,0.0,0.0,35.868721054969264,23.264726738130427,0.03272752774696946,6.1362166458439935,0.35708204609297367,-1.14064447064167,13.518023022735676,18.7936931226562
5,6,bihar,55.3083318286876,0.0,68.0642294050663,0.0,62.18355700903126,0.0,0.0,36.88484126308622,18.391607796408206,0.020257043152608734,5.183079411013703,1.016211387510014,-0.4815151292246296,12.7558975763787,6.875225180343662
