State/UT,Constituency,Electors_Male,Electors_Female,Electors_Total,Voted_Male,Voted_Female,Voted_Total
KARNATAKA CODE : S10,Koppal NO : 4,619960,623466,1243426,425725,373341,799066
KARNATAKA CODE : S10,Bellary NO : 5,609313,603742,1213055,446144,401075,847219
KARNATAKA CODE : S10,Davangere NO : 6,615853,601653,1217506,475443,407274,882717
KARNATAKA CODE : S10,Chitradurga NO : 7,594547,582691,1177238,460072,408472,868544
KARNATAKA CODE : S10,Tumkur NO : 8,550408,536528,1086936,424356,376551,800907
KARNATAKA CODE : S10,Chikballapur NO : 9,604923,584349,1189272,455927,394303,850230
KARNATAKA CODE : S10,Kolar NO : 10,577956,567597,1145553,457046,405766,862812
KARNATAKA CODE : S10,Kanakapura NO : 11,1118914,991715,2110629,676897,598876,1275773
KARNATAKA CODE : S10,Bangalore North NO : 12,970425,857516,1827941,561936,466434,1028370
KARNATAKA CODE : S10,Bangalore South NO : 13,803054,684161,1487215,448897,356137,805034
KARNATAKA CODE : S10,Mandya NO : 14,557879,541853,1099732,434924,397104,832028
KARNATAKA CODE : S10,Chamarajanagar NO : 15,557987,543864,1101851,433677,378223,811900
KARNATAKA CODE : S10,Mysore NO : 16,665458,637278,1302736,417612,481880,899492
KARNATAKA CODE : S10,Mangalore NO : 17,500621,501798,1002419,375110,358145,733255
KARNATAKA CODE : S10,Udupi NO : 18,487021,536777,1023798,329947,367185,697132
KARNATAKA CODE : S10,Hassan NO : 19,600963,616086,1217049,455673,437128,892801
KARNATAKA CODE : S10,Chikmagalur NO : 20,522434,528404,1050838,388272,353623,741895
KARNATAKA CODE : S10,Shimoga NO : 21,573939,559368,1133307,440825,391276,832101
KARNATAKA CODE : S10,Kanara NO : 22,560168,540962,1101130,412003,361553,773556
KARNATAKA CODE : S10,Dharwad South NO : 23,560478,527850,1088328,428844,370708,799552
KARNATAKA CODE : S10,Dharwad North NO : 24,578557,542904,1121461,406526,346374,752900
KARNATAKA CODE : S10,Belgaum NO : 25,619709,610865,1230574,439967,384094,824061
