st_name,pc_name,Electors_Male,Electors_Female,Voted_Male,Voted_Female,Year,pc_name_clean,Female_Turnout_Pct
ANDHRA PRADESH,NELLORE (SC),568572,584259,426257,407568,2004,NELLORE,69.75810385462611
ANDHRA PRADESH,TIRUPATHI (SC),597026,617961,433018,415977,2004,TIRUPATHI,67.31444217353523
ANDHRA PRADESH,CHITTOOR,576653,592193,445882,428543,2004,CHITTOOR,72.36542816277802
ANDHRA PRADESH,RAJAMPET,487061,503790,353593,335294,2004,RAJAMPET,66.55431826753211
ANDHRA PRADESH,CUDDAPAH,560386,582461,409552,404495,2004,CUDDAPAH,69.44585131021648
ANDHRA PRADESH,HINDUPUR,595423,583446,454423,410983,2004,HINDUPUR,70.440623468153
ANDHRA PRADESH,ANANTAPUR,642077,638427,455686,417684,2004,ANANTAPUR,65.4239247400251
ANDHRA PRADESH,KUR,643917,666119,426974,391342,2004,KUR,58.749562765812115
ANDHRA PRADESH,NANDYAL,581003,596662,421700,407024,2004,NANDYAL,68.21684638874271
ANDHRA PRADESH,NAGARKUR,644394,651133,456705,425919,2004,NAGARKUR,65.41198188388547
ANDHRA PRADESH,MAHABUBNAGAR,671952,693229,434557,431686,2004,MAHABUBNAGAR,62.2717745506896
ANDHRA PRADESH,HYDERABAD,897159,873122,534429,451958,2004,HYDERABAD,51.76344199321515
ANDHRA PRADESH,SECUNDERABAD,956807,893451,535769,437457,2004,SECUNDERABAD,48.9626179835268
ANDHRA PRADESH,SIDDIPET (SC),874049,851287,583672,535157,2004,SIDDIPET,62.864462866224905
ANDHRA PRADESH,MEDAK,620776,637957,458161,441213,2004,MEDAK,69.16030390763014
ANDHRA PRADESH,NIZAMABAD,527780,600353,407716,373922,2004,NIZAMABAD,62.28368976252305
ANDHRA PRADESH,ADILABAD,557810,582671,425302,405299,2004,ADILABAD,69.55880762900505
ANDHRA PRADESH,PEDDAPALLI (SC),699814,686415,494220,444582,2004,PEDDAPALLI,64.76868949542187
ANDHRA PRADESH,KARIMNAGAR,667234,677424,426115,448252,2004,KARIMNAGAR,66.17007959564468
ANDHRA PRADESH,HANAMKONDA,604940,602028,430730,400594,2004,HANAMKONDA,66.54075890157934
ANDHRA PRADESH,WARANGAL,602110,612935,473953,447563,2004,WARANGAL,73.01965134965371
ANDHRA PRADESH,KHAMMAM,646184,652264,511288,509235,2004,KHAMMAM,78.07191566604934
ANDHRA PRADESH,NALGONDA,821541,783321,558303,488605,2004,NALGONDA,62.37608847458449
ANDHRA PRADESH,MIRYALGUDA,640089,648968,491667,469741,2004,MIRYALGUDA,72.38276771736048
ARUNACHAL PRADESH,ARUNACHAL WEST,197465,196519,112035,108583,2004,ARUNACHAL WEST,55.25318162620408
ARUNACHAL PRADESH,ARUNACHAL EAST,153490,135792,87378,75326,2004,ARUNACHAL EAST,55.471603629079766
ASSAM,KARIMGANJ (SC),508536,468970,396084,274981,2004,KARIMGANJ,58.6350939292492
ASSAM,SILCHAR,457185,420352,317732,290152,2004,SILCHAR,69.02595919610232
ASSAM,AUTO,302297,276686,215532,186080,2004,AUTO,67.25313170886854
ASSAM,DHUBRI,592052,557539,454749,408714,2004,DHUBRI,73.30680006241715
ASSAM,KOKRAJHAR (ST),626861,587982,528516,438399,2004,KOKRAJHAR,74.55993550822984
ASSAM,BARPETA,567445,507039,413501,349113,2004,BARPETA,68.85328347523564
ASSAM,GAUHATI,751032,688872,486932,394764,2004,GAUHATI,57.30585653067624
ASSAM,MANGALDOI,627187,581523,474610,374131,2004,MANGALDOI,64.33640629863308
ASSAM,TEZPUR,521191,483216,389084,331098,2004,TEZPUR,68.51966822290653
ASSAM,KALIABOR,607049,545323,418924,344693,2004,KALIABOR,63.20896056098862
ASSAM,JORHAT,557836,518048,372061,295912,2004,JORHAT,57.12057569954908
ASSAM,DIBRUGARH,510852,457740,347962,283454,2004,DIBRUGARH,61.92467339537728
ASSAM,LAKHIMPUR,581390,544235,430791,369310,2004,LAKHIMPUR,67.85855374975883
BIHAR,BAGAHA (SC),627735,532439,360008,210806,2004,BAGAHA,39.59251670144373
BIHAR,BETTIAH,687122,590359,374132,195736,2004,BETTIAH,33.15541899081745
BIHAR,MOTIHARI,671887,549638,421100,257970,2004,MOTIHARI,46.934527816490125
BIHAR,GOPALGANJ,682858,547601,416693,277794,2004,GOPALGANJ,50.72927186035088
BIHAR,SIWAN,549243,503804,361423,276121,2004,SIWAN,54.80722661987598
BIHAR,MAHARAJGANJ,567801,545207,431848,232533,2004,MAHARAJGANJ,42.650406176002875
BIHAR,CHAPRA,621788,542140,266722,179309,2004,CHAPRA,33.074298151768915
BIHAR,HAJIPUR (SC),707575,500492,448654,324911,2004,HAJIPUR,64.91832037275321
BIHAR,VAISHALI,652160,544273,435583,313098,2004,VAISHALI,57.52591071025018
BIHAR,MUZAFFARPUR,664302,571604,452811,331163,2004,MUZAFFARPUR,57.93573872821044
BIHAR,SITAMARHI,674268,590004,408257,282534,2004,SITAMARHI,47.88679398783737
BIHAR,SHEOHAR,644993,568860,406560,259824,2004,SHEOHAR,45.67450690855395
BIHAR,MADHUBANI,675317,581780,399706,295430,2004,MADHUBANI,50.78036371136856
BIHAR,JHANJHARPUR,609276,554093,381543,322700,2004,JHANJHARPUR,58.23932083603294
BIHAR,DARBHANGA,644956,557152,433596,330506,2004,DARBHANGA,59.32061627706622
BIHAR,ROSERA (SC),660560,584862,411968,301814,2004,ROSERA,51.60431007656507
