pc91_state_id,pc91_district_id,pc91_pca_area,pc91_pca_res_house,pc91_pca_no_hh,pc91_pca_tot_p,pc91_pca_tot_m,pc91_pca_tot_f,pc91_pca_m_06,pc91_pca_f_06,pc91_pca_p_06,pc91_pca_m_sc,pc91_pca_f_sc,pc91_pca_p_sc,pc91_pca_m_st,pc91_pca_f_st,pc91_pca_p_st,pc91_pca_m_lit,pc91_pca_f_lit,pc91_pca_p_lit,pc91_pca_mainwork_m,pc91_pca_mainwork_f,pc91_pca_mainwork_p,pc91_pca_main_cl_m,pc91_pca_main_cl_f,pc91_pca_main_cl_p,pc91_pca_main_al_m,pc91_pca_main_al_f,pc91_pca_main_al_p,pc91_pca_main_liv_m,pc91_pca_main_liv_f,pc91_pca_main_liv_p,pc91_pca_main_min_m,pc91_pca_main_min_f,pc91_pca_main_min_p,pc91_pca_main_hh_m,pc91_pca_main_hh_f,pc91_pca_main_hh_p,pc91_pca_main_man_m,pc91_pca_main_man_f,pc91_pca_main_man_p,pc91_pca_main_con_m,pc91_pca_main_con_f,pc91_pca_main_con_p,pc91_pca_main_trade_m,pc91_pca_main_trade_f,pc91_pca_main_trade_p,pc91_pca_main_trans_m,pc91_pca_main_trans_f,pc91_pca_main_trans_p,pc91_pca_main_ot_m,pc91_pca_main_ot_f,pc91_pca_main_ot_p,pc91_pca_margwork_m,pc91_pca_margwork_f,pc91_pca_margwork_p,pc91_pca_non_work_m,pc91_pca_non_work_f,pc91_pca_non_work_p
25,37,79263.58000183105,383576.0,416405.0,2418487.0,1325728.0,1092759.0,188992.0,177861.0,366853.0,178585.0,148944.0,327529.0,602.0,468.0,1070.0,872248.0,538164.0,1410412.0,609533.0,31294.0,640827.0,63529.0,3202.0,66731.0,34675.0,4655.0,39330.0,4465.0,149.0,4614.0,115.0,2.0,117.0,3408.0,477.0,3885.0,148691.0,2623.0,151314.0,11300.0,331.0,11631.0,146283.0,2941.0,149224.0,41066.0,483.0,41549.0,156001.0,16431.0,172432.0,53.0,159.0,212.0,716142.0,1061306.0,1777448.0
25,38,451006.4702806473,188046.0,192351.0,1219377.0,666865.0,552512.0,124052.0,112897.0,236949.0,184381.0,149091.0,333472.0,0.0,0.0,0.0,359371.0,138901.0,498272.0,326971.0,34490.0,361461.0,185662.0,13431.0,199093.0,66590.0,16835.0,83425.0,2767.0,143.0,2910.0,34.0,2.0,36.0,3098.0,588.0,3686.0,8806.0,545.0,9351.0,4455.0,94.0,4549.0,21145.0,472.0,21617.0,5934.0,32.0,5966.0,28480.0,2348.0,30828.0,2034.0,46441.0,48475.0,337860.0,471581.0,809441.0
25,39,476433.1199798584,227712.0,236649.0,1429698.0,767430.0,662268.0,142350.0,131153.0,273503.0,222088.0,189700.0,411788.0,100.0,87.0,187.0,417310.0,179330.0,596640.0,369935.0,61023.0,430958.0,177518.0,23080.0,200598.0,45034.0,22180.0,67214.0,4208.0,220.0,4428.0,867.0,128.0,995.0,10748.0,4041.0,14789.0,22189.0,2817.0,25006.0,8255.0,215.0,8470.0,30260.0,1461.0,31721.0,24510.0,415.0,24925.0,46346.0,6466.0,52812.0,4440.0,64234.0,68674.0,393055.0,537011.0,930066.0
25,40,480152.5400009155,126353.0,132370.0,752043.0,403685.0,348358.0,83680.0,77690.0,161370.0,100656.0,88271.0,188927.0,195.0,154.0,349.0,144721.0,44992.0,189713.0,212307.0,33803.0,246110.0,154262.0,19726.0,173988.0,15495.0,9794.0,25289.0,2637.0,233.0,2870.0,2438.0,242.0,2680.0,2657.0,901.0,3558.0,4098.0,695.0,4793.0,3666.0,169.0,3835.0,9557.0,470.0,10027.0,4211.0,26.0,4237.0,13286.0,1547.0,14833.0,1793.0,66741.0,68534.0,189585.0,247814.0,437399.0
25,41,714053.0694358349,240803.0,250193.0,1466491.0,796448.0,670043.0,152174.0,137935.0,290109.0,199179.0,165808.0,364987.0,32.0,31.0,63.0,355174.0,111087.0,466261.0,406321.0,81374.0,487695.0,220583.0,26804.0,247387.0,103421.0,47567.0,150988.0,5710.0,191.0,5901.0,1140.0,253.0,1393.0,7857.0,1468.0,9325.0,8758.0,428.0,9186.0,6274.0,436.0,6710.0,20480.0,1219.0,21699.0,6672.0,55.0,6727.0,25426.0,2953.0,28379.0,4141.0,95219.0,99360.0,385986.0,493450.0,879436.0
25,42,707003.6998348236,298202.0,304344.0,1862139.0,1011230.0,850909.0,198331.0,184059.0,382390.0,234444.0,198440.0,432884.0,29.0,14.0,43.0,418607.0,109657.0,528264.0,519583.0,150704.0,670287.0,316122.0,81457.0,397579.0,115823.0,61617.0,177440.0,3969.0,267.0,4236.0,1028.0,107.0,1135.0,8094.0,2065.0,10159.0,10315.0,605.0,10920.0,4483.0,174.0,4657.0,23389.0,1185.0,24574.0,6071.0,60.0,6131.0,30289.0,3167.0,33456.0,8645.0,125379.0,134024.0,483002.0,574826.0,1057828.0
25,43,404226.0403319001,325545.0,331647.0,1899241.0,1009369.0,889872.0,194732.0,181031.0,375763.0,248599.0,220854.0,469453.0,170.0,140.0,310.0,487784.0,193128.0,680912.0,510289.0,101490.0,611779.0,294472.0,46918.0,341390.0,109048.0,46106.0,155154.0,3544.0,441.0,3985.0,100.0,3.0,103.0,8913.0,2272.0,11185.0,9079.0,661.0,9740.0,4968.0,380.0,5348.0,28195.0,1056.0,29251.0,7098.0,45.0,7143.0,44872.0,3608.0,48480.0,4431.0,86490.0,90921.0,494649.0,701892.0,1196541.0
25,44,358296.44994831085,369756.0,382140.0,2210700.0,1112755.0,1097945.0,231883.0,218786.0,450669.0,233916.0,241186.0,475102.0,57.0,33.0,90.0,531079.0,180014.0,711093.0,505156.0,137425.0,642581.0,323295.0,70387.0,393682.0,80461.0,57937.0,138398.0,2489.0,199.0,2688.0,136.0,2.0,138.0,9786.0,2468.0,12254.0,13387.0,1336.0,14723.0,2638.0,159.0,2797.0,27680.0,1361.0,29041.0,9190.0,43.0,9233.0,36094.0,3533.0,39627.0,3687.0,58099.0,61786.0,603912.0,902421.0,1506333.0
25,45,713107.6898705959,770935.0,794970.0,4921313.0,2624829.0,2296484.0,525630.0,494641.0,1020271.0,635313.0,568534.0,1203847.0,1254.0,950.0,2204.0,1241486.0,422610.0,1664096.0,1221973.0,330589.0,1552562.0,536868.0,134832.0,671700.0,254297.0,148448.0,402745.0,7290.0,881.0,8171.0,3586.0,1261.0,4847.0,38548.0,16110.0,54658.0,63894.0,7565.0,71459.0,14681.0,696.0,15377.0,99057.0,4508.0,103565.0,34204.0,501.0,34705.0,169548.0,15787.0,185335.0,7085.0,103323.0,110408.0,1395771.0,1862572.0,3258343.0
25,46,597762.2903060913,449196.0,482206.0,2761407.0,1499835.0,1261572.0,283283.0,266039.0,549322.0,249340.0,205134.0,454473.0,4871.0,4562.0,9431.0,432701.0,106829.0,539530.0,845952.0,64607.0,910522.0,632900.0,31383.0,664283.0,108410.0,27424.0,135834.0,5815.0,259.0,6074.0,22.0,0.0,22.0,4782.0,729.0,5511.0,17033.0,315.0,17348.0,4957.0,12.0,4969.0,31902.0,793.0,32695.0,6886.0,24.0,6910.0,33245.0,3668.0,36913.0,7398.0,152753.0,160151.0,646485.0,1044212.0,1690697.0
