pc91_state_id,pc91_district_id,ec98_count_own_f,ec98_count_all
5,20,727.0,54203.0
5,21,219.0,50112.0
5,22,5430.0,22835.0
5,23,552.9907350216183,44211.720197652874
5,24,337.26621047403563,45562.18404061586
5,25,127.0,20722.0
5,26,1111.0,79106.0
5,27,178.0,91577.0
5,28,145.0,21879.0
5,29,945.0,35567.0
5,30,574.0,53458.0
5,31,231.0,36131.0
5,32,1582.0,150753.458160118
5,33,666.0,58439.0
5,34,1136.0,90263.0
5,35,170.0,36747.0
5,36,134.0,8827.0
5,37,643.0,31036.0
5,38,1987.0,126742.0
5,39,876.0,152071.0
5,40,1569.0,68891.0
5,41,340.0,31078.0
5,42,843.0,23437.0
6,1,4964.0,112990.0
6,2,2611.0,50117.0
7,1,1476.3374056335742,171607.0120951376
7,2,2637.0,230460.0
7,3,635.0,95062.0
7,4,2139.0,235213.0
7,5,1013.0,77432.0
7,6,2461.829216058312,159548.31554921003
7,7,1046.0,90712.0
7,8,2410.0,96791.57660705654
7,9,2665.0,83258.57660705654
7,10,6357.0,220284.0
7,11,950.6358164033107,39609.31839191658
7,12,10417.322908736565,626469.2637086456
7,13,4161.0,207301.0
7,14,3125.0,106940.0
7,15,5805.0,273354.0
7,16,3257.0,137502.0
7,17,11774.0,573003.0
7,18,4415.0,233039.0
7,19,56.0,4511.0
8,1,4008.9467129573823,82846.64271172979
8,2,953.0,82487.0
8,3,716.0,54914.0
8,4,152.0,48276.0
8,5,877.7797115021917,59873.44836392173
8,6,496.67955782690814,101457.41512054217
8,7,386.0,54371.0
8,8,789.9921246569709,116017.96094692909
8,9,2071.0,196715.0
8,10,641.6529176016554,108202.75482449857
8,11,574.0,50927.0
8,12,180.0,37189.0
8,13,178.0,50258.0
8,14,206.0,48715.0
8,15,759.0,108817.0
8,16,910.0,75896.0
9,1,413.0,22787.0
9,2,2151.3793139510562,85944.48483580841
9,3,664.0,27124.0
9,4,332.0,29098.0
9,5,413.0,22501.0
9,6,779.0,47646.0
9,7,981.0,32942.0
9,8,129.0,3970.0
9,9,1346.0,61811.0
9,10,2045.8441214323566,69590.71477780302
9,11,408.0,34122.0
9,12,37.0,8843.0
11,1,40311.24046295591,821135.8504530572
11,2,8847.0,138475.0
11,3,10728.0,300001.0
11,4,7037.0,124588.0
11,5,2754.0,68446.0
11,6,7013.0,168605.0
11,7,2724.0,58066.0
11,8,8132.0,166215.0
11,9,89528.49239920688,352146.2346331791
11,10,15129.0,281680.0
11,11,7986.0,139983.0
11,12,2729.5508849557523,128309.56982040605
11,13,907.0,30936.0
11,14,7546.0,138283.0
11,15,5623.0,112599.0
11,16,30064.0,360762.0
11,17,8737.0,155745.0
11,18,3749.5508849557523,178115.56982040603
11,19,10168.0,163747.0
11,20,4308.0,111655.0
12,1,2624.0,23061.0
12,2,2304.0,64904.0
12,3,173.4015429652752,7136.8424525708
12,4,3771.256691898203,120607.93289737862
12,5,396.0,33239.0
12,6,1475.173704010115,43459.64951688182
12,7,2348.5010087248456,71865.83132912306
12,8,11017.175413884825,274354.56294213294
12,9,378.6203308750249,11501.74688060594
12,10,4605.373225049394,53919.53506261005
12,11,5933.3649688933865,74085.01517562338
12,12,833.4389471959423,25192.40120398904
12,13,2524.7346728832244,45525.8555141643
12,14,6608.943991620948,135508.44198563398
13,1,1300.0,62350.0
13,2,440.0,46277.0
13,3,4435.37557061442,149490.70812895178
13,4,502.6244293855794,23226.29187104823
13,5,1189.583899821109,46318.540131186644
13,6,942.0,69352.0
13,7,1052.0,39691.0
13,8,1444.0,58646.0
13,9,575.0,31918.0
13,10,9161.0,184916.0
13,11,5520.629116570832,124647.11147412441
13,12,2072.0,96986.0
13,13,1815.0,65618.50434261755
13,14,1182.0,80793.0
13,15,643.0,37958.70438472419
13,16,1456.0,91988.0
13,17,1698.4910347918317,86561.54245450767
13,18,3631.0442434372235,154682.09959689312
13,19,578.0314561136479,54144.799763233554
13,20,1392.0,94080.0
13,21,644.0,33535.0
13,22,1162.0,72667.0
13,23,7466.0,258949.0
13,24,1467.3164324021172,170412.9253490349
13,25,1732.4,90833.6
13,26,739.0,54521.06726457399
13,27,1030.0,53583.0
13,28,3635.077180547352,151695.07422721008
13,29,491.0,39438.0
13,30,975.490331995622,48001.157427075595
13,31,932.0,63012.0
13,32,1172.0,72973.0
13,33,8829.500276599669,296600.59081689105
13,34,962.0170849498697,47450.14363985783
13,35,999.0,53311.0
13,36,2016.0464855099,88766.50555433483
13,37,1403.0,57794.0
13,38,3566.0,88045.0
13,39,1194.0399321335515,67318.0937860804
13,40,1795.3343359903745,98489.41660400061
13,41,3052.0,109803.19632721202
13,42,2966.0,85108.0
13,43,4558.0,160707.0
13,44,2735.3164324021172,280616.9253490349
13,45,2582.4799103776672,98249.76359120038
14,1,59295.99749734359,3091815.1954205
14,2,13641.263022869045,843808.7914111235
14,3,4043.0,180953.0
14,4,4449.0,122139.0
14,5,4388.0,76051.0
14,6,10444.0,419948.0
14,7,2412.0,168846.0
14,8,2413.0,202336.0
14,9,6364.0,296622.0
14,10,18969.0,611678.0
14,11,7617.0,163385.0
14,12,3188.0,136198.0
14,13,20412.0,292407.0
14,14,6446.0,313228.0
14,15,1804.0,191941.0
14,16,752.0,75117.0
14,17,1610.0,97150.0
14,18,2023.0,104490.0
14,19,1048.0,117680.0
14,20,965.0,75041.0
14,21,924.0,99549.0
14,22,2602.408002504043,116416.88857008712
14,23,3338.0,145538.0
14,24,5838.008582016773,154204.8437195241
14,25,3225.0,134610.0
14,26,966.0,80755.0
14,27,10141.651772525849,431599.69350073853
14,28,9317.0,167082.0
14,29,1753.0,149978.0
14,30,580.0,45560.0
15,1,60.0,7714.0
15,2,12.0,2995.0
15,3,7.0,3603.0
15,4,172.0,4990.0
15,5,5890.0,24108.0
15,6,4614.0,19794.0
15,7,22377.084589045335,109339.52677090927
15,8,22.0,5649.0
16,1,137.0,17548.0
16,2,779.0,60842.0
16,3,25.0,10521.0
16,4,74.0,8956.0
16,5,277.0,29541.0
17,1,14.0,14674.0
17,2,0.0,6671.0
17,3,0.0,4373.0
18,1,692.0,46263.0
18,2,59.0,7374.0
18,3,6.0,7028.0
18,4,45.0,5249.0
18,5,41.0,9155.0
18,6,7.0,7976.0
18,7,5.0,8627.0
19,1,8982.0,235338.0
19,2,1031.0,105982.0
19,3,1082.0,63076.0
19,4,2989.067437379576,151753.32947976878
19,5,1468.0,115412.69886975242
19,6,3303.0,290293.9036555288
19,7,2354.0,100724.0
19,8,1596.0,43405.0
19,9,5740.0,151651.0
19,10,2028.0,72483.0
19,11,4252.026313531447,101896.58690615794
19,12,5890.0,169643.0
19,13,3903.943450250537,230054.54545454547
20,1,1509.0,110129.0
20,2,12126.0,237060.0
20,3,1588.0,99860.0
20,4,15670.0,318545.0
20,5,5517.0,223112.0
20,6,753.0,61136.0
20,7,1520.0,103928.0
20,8,690.0736361701624,86113.29139965476
20,9,4177.0,172001.0
20,10,2030.0,123710.0
20,11,1067.0,92258.0
20,12,1524.0,117990.0
21,1,769.0,151150.95454545453
21,2,489.05300313337614,74784.08899920722
21,3,1206.0224642776275,64512.7546805544
21,4,997.003224073079,92913.67087587318
21,5,1403.0,153322.0
21,6,1115.0,98893.0
21,7,254.0,31332.0
21,8,1021.1308339859045,103700.70367071261
21,9,7174.8548234867885,395201.83491774934
21,10,3150.0,96409.0
21,11,2493.0,172116.73849878935
21,12,1480.0,61995.0
21,13,109.0,18649.0
21,14,1671.0,145705.0
21,15,1370.0,113320.0
21,16,1134.0,106431.0
21,17,365.0,59705.0
21,18,586.0,57012.0
21,19,850.0,49751.0
21,20,4126.0,144459.0
21,21,2363.319383392545,192179.57577516398
21,22,1606.0,94201.0
21,23,582.0,35522.0
