pc91_state_id,pc91_district_id,state_clean,alloc_electors_f,alloc_voters_f,alloc_treated_electors_f,Female_Turnout_Dist,EVM_Exposure,Lit_Pct,SC_Pct,ST_Pct,Urban_Pct,Fem_Enterprise_Pct,Agency_IHS,Agency_Centered
14,5,maharashtra,419366.5106844626,248203.40742463723,0.0,59.18531907078985,0.0,65.88652073178939,5.099428950480201,0.46782318614868434,6.710673050115844,5.769812362756571,2.453213131401301,0.9554866146666572
14,6,maharashtra,1234266.6756818544,693649.2296849759,0.0,56.199299823255664,0.0,50.59101323379426,8.484163483368958,24.1751208406814,29.23986174205837,2.486974577804871,1.6423827320792441,0.1446562153446005
14,7,maharashtra,811794.063675056,474065.71285313857,0.0,58.397287448371515,0.0,41.94990367608347,5.298663296151184,40.87568989417186,17.057240265566122,1.428520663800149,1.1544482822051698,-0.3432782345294738
14,8,maharashtra,1001808.5727444222,618964.7607213964,0.0,61.7847338864113,0.0,53.167929567823656,9.25598735613938,9.836480599717532,22.986327790455242,1.1925707733670725,1.0112083566964674,-0.4865181600381763
14,9,maharashtra,1253954.130753036,792517.3401170584,0.0,63.20146173457945,0.0,49.90208824065688,12.406969004739196,7.119645056901482,13.248847072356865,2.1454915683934437,1.506870289056552,0.009143772321908328
14,10,maharashtra,1922373.2964444703,1065736.755957534,0.0,55.43859550736945,0.0,59.56093882511661,11.406404879357227,3.9102530270046336,43.12437777133508,3.101141450240159,1.849954049447426,0.3522275327127824
14,11,maharashtra,795929.4537256362,550629.73128636,0.0,69.1807205662434,0.0,55.865817183193734,9.505452456828257,0.7482340501564022,11.106882186791724,4.661994675153778,2.2438996504201834,0.7461731336855397
14,12,maharashtra,749500.4611110908,527292.904929918,0.0,70.35257912293169,0.0,52.686052153259034,12.55756989854663,0.4880768757286756,19.266771306293585,2.3407098488964597,1.5863908843545853,0.08866436761994168
14,13,maharashtra,626132.9871729843,439652.754400832,0.0,70.21715249117953,0.0,46.25303731874739,15.410220246810875,1.496476230533847,24.082304954694393,6.9806810370476775,2.641384945797155,1.1436584290625116
14,14,maharashtra,985693.4497514131,692753.9478772692,0.0,70.28087160891434,0.0,56.694116324449325,12.748130987464968,0.49482324347618933,22.488710976918732,2.0579258559260345,1.4692445953984197,-0.02848192133622396
14,15,maharashtra,1182587.5498062165,732173.411882256,0.0,61.91282937168017,0.0,45.41790305174997,13.788458558871506,3.7719212261025157,26.389264691733004,0.939872148212211,0.8382114154903063,-0.6595151012443373
14,16,maharashtra,436588.1049500868,290502.477217291,0.0,66.53925609139144,0.0,36.325778258240646,12.932334133426169,2.0741337926232664,13.476592703886253,1.0011049429556558,0.8821546838895948,-0.6155718328450488
14,17,maharashtra,684856.0101556379,433872.60495402775,0.0,63.35238335068819,0.0,37.563856998112925,11.021215993122455,5.265382953045179,18.016140498385713,1.6572310859495625,1.278930969292662,-0.2187955474419816
14,18,maharashtra,643026.8913577748,438242.7967110645,0.0,68.15310566338817,0.0,39.48867004157904,13.406769875175076,1.1259159901474804,14.365842842653858,1.936070437362427,1.4146742259514082,-0.0830522907832354
