st_name,pc_name,pc_code,pc91_state_id,pc91_district_id,state_clean,district_clean,pc_weight_relative,dist_weight_relative,pc_weight_absolute,Constituency Clean
MS,Hingoli,S1329,14,17,maharashtra,parbhani,0.4914627138843128,0.4454826585279821,0.4901100413005704,hingoli
MS,Hingoli,S1329,14,19,maharashtra,nanded,0.4724978482242979,0.4395138976508551,0.4711973734026806,hingoli
MS,Hingoli,S1329,14,25,maharashtra,yavatmal,0.0291403735937974,0.0215790076581503,0.0290601693721408,hingoli
MS,Hingoli,S1329,14,23,maharashtra,akola,0.0068990642975918,0.006411094123476,0.00688007572559,hingoli
MS,Ichalkaranji,S1347,14,14,maharashtra,kolhapur,0.683525766697676,0.3920549649905617,0.6831704487617651,ichalkaranji
MS,Ichalkaranji,S1347,14,5,maharashtra,sindhudurg,0.2084314830556914,0.1760098868136112,0.2083231338932363,ichalkaranji
MS,Ichalkaranji,S1347,14,4,maharashtra,ratnagiri,0.0585948752662973,0.0340848207206367,0.0585644158291422,ichalkaranji
MS,Ichalkaranji,S1347,11,3,karnataka,belgaum,0.0494478749803352,0.0169831364101503,0.0494221704381962,ichalkaranji
MS,Jalgaon,S1317,14,8,maharashtra,jalgaon,0.914393620693352,0.461315699156953,0.914393620693353,jalgaon
MS,Jalgaon,S1317,13,24,madhya pradesh,west nimar,0.0464483132720075,0.0196461009855171,0.0464483132720075,jalgaon
MS,Jalgaon,S1317,13,25,madhya pradesh,east nimar,0.0232669470948672,0.011937989458002,0.0232669470948672,jalgaon
MS,Jalgaon,S1317,14,15,maharashtra,aurangabad,0.0158911189397732,0.0082908058314323,0.0158911189397732,jalgaon
MS,Jalna,S1332,14,16,maharashtra,jalna,0.5330541877153532,0.7101450265877155,0.5330541877153532,jalna
MS,Jalna,S1332,14,15,maharashtra,aurangabad,0.2384372101907664,0.2126695087624766,0.2384372101907663,jalna
MS,Jalna,S1332,14,18,maharashtra,bid,0.190560383593504,0.1636347360390522,0.1905603835935039,jalna
MS,Jalna,S1332,14,8,maharashtra,jalgaon,0.015651661098936,0.0134993983423896,0.015651661098936,jalna
MS,Jalna,S1332,14,9,maharashtra,ahmadnagar,0.0131904533041605,0.0073395012362861,0.0131904533041605,jalna
MS,Jalna,S1332,14,22,maharashtra,buldana,0.0091061040972797,0.0091664929855613,0.0091061040972797,jalna
MS,Karad,S1345,14,11,maharashtra,satara,0.4370077303620852,0.2207727975622932,0.4370077303620854,karad
MS,Karad,S1345,14,12,maharashtra,sangli,0.2383954559096328,0.1318032285043072,0.2383954559096329,karad
MS,Karad,S1345,14,14,maharashtra,kolhapur,0.1967758972107078,0.1273416369819469,0.1967758972107078,karad
MS,Karad,S1345,14,4,maharashtra,ratnagiri,0.1278209165175741,0.0838899174307147,0.1278209165175742,karad
MS,Khed,S1341,14,10,maharashtra,pune,0.8715303300114356,0.426286260574674,0.8671804887932739,khed
MS,Khed,S1341,14,3,maharashtra,raigarh,0.0991122073421611,0.1173389524728587,0.0986175345237013,khed
MS,Khed,S1341,14,11,maharashtra,satara,0.0293574626464032,0.0224835669353537,0.0292109384272423,khed
MS,Kolaba,S1303,14,3,maharashtra,raigarh,0.9594912643801632,0.7120973550341804,0.7942870347096473,kolaba
MS,Kolaba,S1303,14,4,maharashtra,ratnagiri,0.0274610782404833,0.0171276968481316,0.0227328577291986,kolaba
MS,Kolaba,S1303,14,10,maharashtra,pune,0.0130476573793534,0.0040006878109412,0.0108011250070619,kolaba
MS,Kolhapur,S1348,14,14,maharashtra,kolhapur,0.8124817760482204,0.3745232350465591,0.8124817760482199,kolhapur
MS,Kolhapur,S1348,11,3,karnataka,belgaum,0.1141553548752755,0.0315093630326601,0.1141553548752754,kolhapur
MS,Kolhapur,S1348,14,5,maharashtra,sindhudurg,0.0733628690765041,0.0497878213406744,0.0733628690765041,kolhapur
MS,Kopargaon,S1340,14,9,maharashtra,ahmadnagar,0.9038718743924584,0.3255260317500711,0.9038718743924578,kopargaon
MS,Kopargaon,S1340,14,10,maharashtra,pune,0.0670767278374289,0.0262187002078791,0.0670767278374289,kopargaon
MS,Kopargaon,S1340,14,6,maharashtra,nashik,0.0290513977701126,0.0117124702640316,0.0290513977701126,kopargaon
MS,Latur,S1335,14,21,maharashtra,latur,0.7493712538186206,0.6568969016049944,0.7481083034276897,latur
MS,Latur,S1335,14,20,maharashtra,osmanabad,0.2245695003652334,0.2079959543216434,0.2241910228925092,latur
MS,Latur,S1335,11,5,karnataka,bidar,0.0148899244347341,0.0176995123561244,0.0148648297493029,latur
MS,Latur,S1335,11,11,karnataka,gulbarga,0.0111693213814117,0.0045129663982832,0.0111504972021639,latur
MS,Malegaon,S1313,14,6,maharashtra,nashik,0.9266076063951746,0.4530103818327837,0.9223148803315876,malegaon
MS,Malegaon,S1313,7,18,gujarat,valsad,0.052688722879343,0.0768044915408982,0.0524446300698298,malegaon
MS,Malegaon,S1313,14,2,maharashtra,thane,0.0145508897016092,0.0116151298316082,0.0144834793079978,malegaon
MS,Malegaon,S1313,14,15,maharashtra,aurangabad,0.0061527810238729,0.0043073038052166,0.0061242768293439,malegaon
MS,Mumbai North,S1309,14,1,maharashtra,mumbai suburban,1.0,0.2058278501866471,0.5784536559940807,mumbai north
MS,Mumbai North Central,S1306,14,1,maharashtra,mumbai suburban,1.0,0.0832689714350067,0.5318614705580946,mumbai north central
MS,Mumbai North East,S1307,14,1,maharashtra,mumbai suburban,1.0,0.1479721598356115,0.4633616230405772,mumbai north east
MS,Mumbai North West,S1308,14,1,maharashtra,mumbai suburban,1.0,0.1971545684734033,0.5960136041843236,mumbai north west
MS,Mumbai South Central,S1305,14,1,maharashtra,mumbai suburban,1.0,0.0060432350223228,0.1188699690989256,mumbai south central
MS,Nagpur,S1323,14,27,maharashtra,nagpur,1.0,0.1697681832921479,1.0000000000000009,nagpur
MS,Nanded,S1330,14,19,maharashtra,nanded,0.7352114885337396,0.4757786974678872,0.7314092276822439,nanded
MS,Nanded,S1330,14,21,maharashtra,latur,0.2246681149511793,0.2134387732634775,0.223506208763122,nanded
MS,Nanded,S1330,14,17,maharashtra,parbhani,0.0333952093825113,0.0210593193323106,0.0332225008500101,nanded
MS,Nanded,S1330,2,18,andhra pradesh,nizamabad,0.0067251871325696,0.0059959935106804,0.0066904067786824,nanded
MS,Nandurbar,S1315,14,7,maharashtra,dhule,0.8479307457113996,0.6161039145006514,0.8456702544308632,nandurbar
MS,Nandurbar,S1315,7,17,gujarat,surat,0.0583137972034744,0.0742681123131276,0.0581583389531631,nandurbar
MS,Nandurbar,S1315,13,21,madhya pradesh,jhabua,0.0285379278623127,0.0396371050962434,0.0284618488459265,nandurbar
MS,Nandurbar,S1315,7,16,gujarat,bharuch,0.0272134633552775,0.0327895863631181,0.0271409152174267,nandurbar
MS,Nandurbar,S1315,13,24,madhya pradesh,west nimar,0.0244804015358244,0.0169634600436528,0.0244151394439665,nandurbar
MS,Nandurbar,S1315,7,15,gujarat,vadodara,0.013523664331711,0.0165565441049194,0.0134876117113085,nandurbar
MS,Nashik,S1312,14,6,maharashtra,nashik,0.5871356667521402,0.2407568775653311,0.5871356667521405,nashik
MS,Nashik,S1312,14,9,maharashtra,ahmadnagar,0.3209930836723949,0.1175799568878029,0.320993083672395,nashik
MS,Nashik,S1312,14,10,maharashtra,pune,0.0619968289723348,0.0246471969964041,0.0619968289723349,nashik
MS,Nashik,S1312,14,2,maharashtra,thane,0.0298744206031299,0.0200014718782808,0.0298744206031299,nashik
MS,Osmanabad,S1336,14,20,maharashtra,osmanabad,0.5428244990542025,0.7647989062987429,0.5416419478962127,osmanabad
MS,Osmanabad,S1336,14,13,maharashtra,solapur,0.4038434606094535,0.2597227973685849,0.4029636816886007,osmanabad
MS,Osmanabad,S1336,14,10,maharashtra,pune,0.0369749000333801,0.0229353677652798,0.0368943496696304,osmanabad
MS,Osmanabad,S1336,14,18,maharashtra,bid,0.0094301333248336,0.0083174873612438,0.009409589640636,osmanabad
MS,Osmanabad,S1336,14,21,maharashtra,latur,0.0069270069781301,0.009236969555548,0.0069119163915083,osmanabad
MS,Pandharpur,S1338,14,13,maharashtra,solapur,0.7074493180835776,0.4200260218214469,0.7074493180835767,pandharpur
MS,Pandharpur,S1338,14,12,maharashtra,sangli,0.2258652444993711,0.2216314839415218,0.2258652444993708,pandharpur
MS,Pandharpur,S1338,14,11,maharashtra,satara,0.0508007102402077,0.0455491415658978,0.0508007102402076,pandharpur
MS,Pandharpur,S1338,14,20,maharashtra,osmanabad,0.0107291585553486,0.013955240615634,0.0107291585553486,pandharpur
MS,Pandharpur,S1338,14,10,maharashtra,pune,0.0051555686214949,0.0029522907058642,0.0051555686214949,pandharpur
MS,Parbhani,S1331,14,17,maharashtra,parbhani,0.7501752662829634,0.4998523308695053,0.7443778138105844,parbhani
MS,Parbhani,S1331,14,16,maharashtra,jalna,0.2343001586662162,0.2413495629381,0.2324894564274331,parbhani
MS,Parbhani,S1331,14,18,maharashtra,bid,0.0155245750508204,0.0103076780838513,0.0154045991064561,parbhani
MS,Pune,S1342,14,10,maharashtra,pune,1.0,0.0259157794140563,1.0,pune
MS,Rajapur,S1301,14,5,maharashtra,sindhudurg,0.5973005495594952,0.7742022918457144,0.5278986233124305,rajapur
MS,Rajapur,S1301,14,4,maharashtra,ratnagiri,0.298756763927566,0.2667515304806166,0.2640434275490811,rajapur
MS,Rajapur,S1301,6,1,goa,north goa,0.092265054065681,0.3099269100276232,0.0815445340826168,rajapur
MS,Rajapur,S1301,14,14,maharashtra,kolhapur,0.0116776324472577,0.0102809835079803,0.0103207775331904,rajapur
MS,Ramtek,S1322,14,27,maharashtra,nagpur,0.8383402856449932,0.8059009847721486,0.8283550781580375,ramtek
MS,Ramtek,S1322,14,24,maharashtra,amravati,0.0954625890565733,0.077286656370461,0.094325564181002,ramtek
MS,Ramtek,S1322,13,36,madhya pradesh,chhindwara,0.0533150332092962,0.044278526300148,0.0526800146161492,ramtek
MS,Ramtek,S1322,13,31,madhya pradesh,betul,0.0128820920891372,0.0124355917769243,0.0127286575416406,ramtek
MS,Ratnagiri,S1302,14,4,maharashtra,ratnagiri,0.8534722207115824,0.5981460345199001,0.6763404303891384,ratnagiri
MS,Ratnagiri,S1302,14,3,maharashtra,raigarh,0.1366096867718747,0.1139242816815784,0.1082573657401304,ratnagiri
MS,Ratnagiri,S1302,14,11,maharashtra,satara,0.0099180925165428,0.0053505027891101,0.0078596664290784,ratnagiri
MS,Sangli,S1346,14,12,maharashtra,sangli,0.883208099003441,0.5506480115853718,0.8784899866688779,sangli
