st_name,pc_name,pc_code,pc91_state_id,pc91_district_id,state_clean,district_clean,pc_weight_relative,dist_weight_relative,pc_weight_absolute
AP,Narasaraopet,S0117,2,23,andhra pradesh,nalgonda,0.017120640251662652,0.016221869212043157,0.017077083574597342
AP,Nellore,S0119,2,9,andhra pradesh,sri potti sriramulu nellore,0.975135491875919,0.4583375408012205,0.9535145593731713
AP,Nellore,S0119,2,11,andhra pradesh,ysr kadapa,0.024864508124081062,0.009125569981644651,0.0243132064266825
AP,Nizamabad,S0134,2,18,andhra pradesh,nizamabad,0.9257248543854062,0.6945048787270317,0.9235932163706176
AP,Nizamabad,S0134,14,19,maharashtra,nanded,0.0372033833747831,0.02025870786414128,0.03711771629357127
AP,Nizamabad,S0134,2,19,andhra pradesh,adilabad,0.018760081460843025,0.006992061373823598,0.01871688320100046
AP,Nizamabad,S0134,2,17,andhra pradesh,medak,0.018311680778967766,0.010744564594394605,0.018269515037518558
AP,Ongole,S0118,2,8,andhra pradesh,prakasam,0.5611817314513109,0.3078132723668151,0.554043964891868
AP,Ongole,S0118,2,9,andhra pradesh,sri potti sriramulu nellore,0.41021142525721066,0.3219740624161028,0.40499387587988145
AP,Ongole,S0118,2,11,andhra pradesh,ysr kadapa,0.028606843291478508,0.01753245500377198,0.028242987951980783
AP,Parvathipuram,S0102,2,1,andhra pradesh,srikakulam,0.4905854196068512,0.3278039657848549,0.49058541960685154
AP,Parvathipuram,S0102,2,2,andhra pradesh,vizianagaram,0.38572909831640834,0.2014802590343399,0.38572909831640867
AP,Parvathipuram,S0102,19,11,odisha,koraput,0.08754151782377327,0.010982502546440282,0.08754151782377333
AP,Parvathipuram,S0102,19,12,odisha,ganjam,0.036143964252967196,0.009425118269296033,0.036143964252967224
AP,Peddapalli,S0136,2,20,andhra pradesh,karimnagar,0.5788667876447425,0.46210612191052336,0.5763330605651574
AP,Peddapalli,S0136,2,19,andhra pradesh,adilabad,0.3962505922081493,0.23363838951701082,0.39451618478107203
AP,Peddapalli,S0136,14,30,maharashtra,gadchiroli,0.01470380853525971,0.008918505369717193,0.014639449275661479
AP,Peddapalli,S0136,2,17,andhra pradesh,medak,0.005153373277547129,0.004783612380561835,0.005130816721007311
AP,Peddapalli,S0136,2,21,andhra pradesh,warangal,0.005025438334301305,0.0036408554781783937,0.005003441755008491
AP,Rajahmundry,S0108,2,4,andhra pradesh,east godavari,0.9466656240833318,0.1876742876731853,0.9465607075547512
AP,Rajahmundry,S0108,2,5,andhra pradesh,west godavari,0.053334375916668224,0.013408045820081465,0.05332846500426913
AP,Rajampet,S0122,2,11,andhra pradesh,ysr kadapa,0.5764508205149013,0.3577202218871112,0.5753904330512571
AP,Rajampet,S0122,2,10,andhra pradesh,chittoor,0.4071393938363026,0.25410724274554,0.4063904565569801
